西暦年度,ＲＬＳ識別コード,水系コード,絶対番号,地点新設等コード,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,ＣＯＤ等基準点識別コード,水域名称_漢字,水域名称_カタカナ,水域名称_ローマ字,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,類型,達成期間,指定区分,類型指定年_ＣＯＤ等,類型指定月_ＣＯＤ等,類型指定日_ＣＯＤ等,特例１,特例２,特例３,特例４,特例５,ＣＯＤの測定方法,県際水域コード,県際地点コード,測定中止年,測定中止月,測定中止日,測定再開年,測定再開月,測定再開日,ＮＰ測定コード,ＮＰ基準点識別コード,ＮＰ水域コード,ＮＰ水域名称_漢字,ＮＰ水域名称_カタカナ,ＮＰ水域名称_ローマ字,ＮＰ地点名称_漢字,ＮＰ地点名称_カタカナ,ＮＰ地点名称_ローマ字,ＮＰ類型,ＮＰ達成期間,ＮＰ指定区分,ＮＰ類型指定年,ＮＰ類型指定月,ＮＰ類型指定日,Ｎ指定の有無,Ｐ指定の有無,Ｎ暫定基準値,Ｐ暫定基準値,ＮＰ基準の特例,Ｎ測定方法,Ｐ測定方法,ＮＰ県際水域コード,ＮＰ県際地点コード,ＮＰ測定中止年,ＮＰ測定中止月,ＮＰ測定中止日,ＮＰ測定再開年,ＮＰ測定再開月,ＮＰ測定再開日,水道の取水地点,緯度_Ｎ(度),緯度_Ｎ(分),緯度_Ｎ(秒),経度_Ｅ（度）,経度_Ｅ（分）,経度_Ｅ（秒）,水質年鑑コード,推定絶対番号,推定水系コード,備考
1972,3,,3430351,2,,,,,,,,Ｂ‐４,B-4,,A,1,,1973,02,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,13,17,132,36,05,34S1040,3430150,,
1972,3,,3430391,2,,,,,,,,Ｃ‐１,C-1,,A,1,,1974,02,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,14,15,132,33,10,34S1080,3430120,,
1972,3,,3430651,2,,,,,,,,Ｂ‐３,B-3,,A,1,,1974,04,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,19,59,132,54,56,34S2030,,,
1972,3,,3430661,2,,,,,,,,Ｂ‐４,B-4,,A,1,,1974,04,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,19,12,132,54,53,34S2040,,,
1972,3,,3430701,2,,,,,,,,,B-8,,A,1,,1974,04,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,23,04,133,05,59,34S2080,3430570,,
1972,3,,3430721,2,,,,,,,,Ｂ‐１０,B-10,,A,1,,1974,04,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,22,34,133,05,49,34S2100,,,
1972,3,,3430771,2,,,,,,,,,B-15,,A,1,,1974,04,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,23,57,133,14,26,34S2150,,,
1972,3,,3431041,2,,,,,,,,,1,,B,1,,1974,04,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,27,27,133,24,50,34S3010,3430450,,
1972,3,,3431071,2,,,,,,,,,4,,B,1,,1974,04,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,26,47,133,26,17,34S3040,3430460,,
1972,3,,3431221,2,,,,,,,,,カイダワンチユウオウ,,B,1,,1974,10,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,21,24,132,30,49,34S5010,3431290,,
1972,3,,3431231,2,,,,,,,,,エンコウガワカコウオキ,,B,1,,1974,10,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,21,18,132,29,57,34S5020,3431310,,
